	name	P(score>  0.99)	P(score>  0.95)	P(score>  0.90)	P(score>  0.85)	P(score>  0.80)
83	DOC#98	0.385	0.839	0.991	1.0	1.0
84	DOC#99	0.0	0.006	0.148	0.476	0.796
85	DOC#100	0.0	0.0	0.0	0.002	0.031
86	DOC#101	0.0	0.0	0.0	0.0	0.0
87	DOC#102	0.216	0.683	0.963	0.998	1.0
88	DOC#103	0.0	0.0	0.0	0.092	0.321
89	DOC#104	0.0	0.009	0.129	0.468	0.784
90	DOC#105	0.381	0.843	0.99	1.0	1.0
91	DOC#107	0.0	0.16	0.685	0.954	0.998
92	DOC#108	0.0	0.0	0.0	0.001	0.009
93	DOC#109	0.0	0.13	0.639	0.942	0.992
94	DOC#111	0.0	0.0	0.0	0.022	0.169
95	DOC#112	0.0	0.0	0.054	0.365	0.766
96	DOC#113	0.0	0.0	0.0	0.0	0.0
97	DOC#114	0.0	0.0	0.166	0.338	0.483
98	DOC#115	0.0	0.0	0.0	0.0	0.0
99	DOC#116	0.0	0.36	0.888	0.999	1.0
100	DOC#117	0.385	0.839	0.992	1.0	1.0
101	DOC#118	0.0	0.0	0.0	0.0	0.289
102	DOC#119	0.0	0.0	0.0	0.0	0.0
103	DOC#121	0.0	0.161	0.36	0.8	0.973
104	DOC#122	0.0	0.0	0.76	0.994	1.0
105	DOC#123	0.0	0.167	0.711	0.961	0.998
106	DOC#124	0.0	0.0	0.0	0.0	0.0
107	DOC#125	0.0	0.0	0.0	0.0	0.019
108	DOC#126	0.247	0.724	0.967	0.997	1.0
109	DOC#127	0.0	0.126	0.247	0.252	0.256
110	DOC#128	0.0	0.0	0.0	0.0	0.0
111	DOC#129	0.0	0.25	0.766	0.978	0.999
112	DOC#130	0.0	0.0	0.0	0.0	0.034
113	DOC#131	0.0	0.0	0.0	0.0	0.025
114	DOC#132	0.0	0.0	0.0	0.046	0.318
115	DOC#133	0.0	0.0	0.0	0.205	0.474
116	DOC#134	0.0	0.005	0.113	0.45	0.802
117	DOC#135	0.0	0.0	0.012	0.068	0.309
118	DOC#136	0.0	0.231	0.805	0.992	1.0
119	DOC#137	0.247	0.728	0.959	0.999	1.0
120	DOC#138	0.0	0.0	0.287	0.767	0.964
121	DOC#140	0.233	0.698	0.939	0.996	0.999
